2015/02/19 12:08:52 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:08:53 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:08:59 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:00 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:15 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:16 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:16 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:17 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:17 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Router' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:22 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'App' not found in /Users/joost/Work/Projects/Stemtinder/Source/lib/controller.class.php on line 8" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:09:42 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/lib/controller.class.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 121
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/lib/controller.class.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 121" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:10:13 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/partijen_controller.class.php on line 6" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:10:33 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 7" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:11:25 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/lib/../app/controllers/partijen_controller.class.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 121
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/lib/../app/controllers/partijen_controller.class.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 121" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:11:58 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Call to undefined method Router::pascalize() in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 118" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:25:59 [error] 56066#0: *70 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/data/kandidaten/Noord Holland/pvda/1-martine.jpg" failed (13: Permission denied), client: 127.0.0.1, server: stemtinder.dev, request: "GET /data/kandidaten/Noord%20Holland/pvda/1-martine.jpg HTTP/1.1", host: "stemtinder.dev", referrer: "http://stemtinder.dev/"
2015/02/19 12:26:00 [error] 56066#0: *70 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/data/kandidaten/Noord Holland/pvda/1-martine.jpg" failed (13: Permission denied), client: 127.0.0.1, server: stemtinder.dev, request: "GET /data/kandidaten/Noord%20Holland/pvda/1-martine.jpg HTTP/1.1", host: "stemtinder.dev", referrer: "http://stemtinder.dev/"
2015/02/19 12:26:14 [error] 56066#0: *70 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/data/kandidaten/Noord Holland/pvda/1-martine.jpg" failed (13: Permission denied), client: 127.0.0.1, server: stemtinder.dev, request: "GET /data/kandidaten/Noord%20Holland/pvda/1-martine.jpg HTTP/1.1", host: "stemtinder.dev"
2015/02/19 12:26:22 [error] 56066#0: *70 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/data/kandidaten/Noord Holland/pvda/1-martine.jpg" failed (13: Permission denied), client: 127.0.0.1, server: stemtinder.dev, request: "GET /data/kandidaten/Noord%20Holland/pvda/1-martine.jpg HTTP/1.1", host: "stemtinder.dev"
2015/02/19 16:10:49 [error] 84435#0: *143 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/data/kandidaten/Noord-Holland/vrouwenpartij/2. khalid.jpg" failed (13: Permission denied), client: 127.0.0.1, server: stemtinder.dev, request: "GET /data/kandidaten/Noord-Holland/vrouwenpartij/2.%20khalid.jpg HTTP/1.1", host: "stemtinder.dev"
2015/02/19 16:13:47 [error] 84435#0: *148 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/lib/../app/controllers/CandidatesController.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 121
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/lib/../app/controllers/CandidatesController.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/lib/Router.php on line 121" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 16:14:07 [error] 84435#0: *148 FastCGI sent in stderr: "PHP message: PHP Warning:  Missing argument 1 for CandidatesData::stack(), called in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/CandidatesController.php on line 7 and defined in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 10
PHP message: PHP Notice:  Undefined variable: province in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 13
PHP message: PHP Warning:  array_rand() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 16:14:27 [error] 84435#0: *148 FastCGI sent in stderr: "PHP message: PHP Warning:  array_rand() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/Noord%20Holland/stack HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 16:14:56 [error] 84435#0: *148 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: Noord%20Holland in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 13
PHP message: PHP Warning:  array_rand() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/Noord%20Holland/stack HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 16:15:10 [error] 84435#0: *148 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: Noord%20Holland in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 13
PHP message: PHP Warning:  array_rand() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/Noord%20Holland/stack HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:32:20 [error] 1396#0: *78 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../www/data/all.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 10
PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 20" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:32:20 [error] 1396#0: *78 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../www/data/all.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 10
PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 20" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:32:20 [error] 1396#0: *78 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../www/data/all.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 10
PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 20" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:52:00 [error] 1396#0: *95 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../dataall.json.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/StaticData.php on line 25
PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 9" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:52:21 [error] 1396#0: *95 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../data/all.json.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/StaticData.php on line 25
PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 9" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:52:22 [error] 1396#0: *95 FastCGI sent in stderr: "PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 9" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:52:23 [error] 1396#0: *95 FastCGI sent in stderr: "PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 9" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:52:28 [error] 1396#0: *95 FastCGI sent in stderr: "PHP message: PHP Warning:  shuffle() expects parameter 1 to be array, null given in /Users/joost/Work/Projects/Stemtinder/Source/lib/CandidatesData.php on line 9" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:53:30 [error] 1396#0: *102 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../data/all.json.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/StaticData.php on line 25" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:53:47 [error] 1396#0: *102 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../data/all.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/StaticData.php on line 23" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 17:53:48 [error] 1396#0: *102 FastCGI sent in stderr: "PHP message: PHP Warning:  file_get_contents(/Users/joost/Work/Projects/Stemtinder/Source/lib/../data/all.json): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/StaticData.php on line 23" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /candidates/stack?province=Flevoland HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
